Id,Label,cell_class,name,nt_type,primary_type,side,super_class
720575940636330217,FB.861,CX,FB.861,ACH,vDeltaE,right,central
720575940622092522,FB.1175,CX,FB.1175,ACH,vDeltaI_b,right,central
720575940620339438,FB.829,CX,FB.829,ACH,FC1C,left,central
720575940639426805,EB.129,CX,EB.129,GABA,ER2,left,central
720575940621846783,FB.485,CX,FB.485,GLUT,FB1D,left,central
720575940623059214,NO.224,CX,NO.224,DA,PFNp,right,central
720575940625516830,EB.152,CX,EB.152,GABA,ER4d,left,central
720575940627958046,EB.219,CX,EB.219,GABA,ER3d,right,central
720575940620224801,FB.1050,CX,FB.1050,ACH,vDeltaM,left,central
720575940643408164,FB.92,CX,FB.92,ACH,hDeltaH,left,central
720575940628072748,NO.164,CX,NO.164,unknown,PFNp,right,central
720575940633741613,FB.314,CX,FB.314,GLUT,FB4F_a,right,central
720575940611606830,FB.643,CX,FB.643,GLUT,FB4Q_b,left,central
720575940613982514,FB.120,CX,FB.120,GLUT,FB6F,left,central
720575940613605698,FB.389,CX,FB.389,GLUT,FB5R,left,central
720575940613818690,SLP.FB.11,CX,SLP.FB.11,GLUT,FB8A,left,central
720575940638017862,NO.52,CX,NO.52,ACH,PFNm,right,central
720575940623649097,FB.33,CX,FB.33,GLUT,FB5I,right,central
720575940627712335,FB.1130,CX,FB.1130,ACH,vDeltaA_a,right,central
720575940628810071,FB.803,CX,FB.803,ACH,FC1C,right,central
720575940633135455,FB.1148,CX,FB.1148,ACH,vDeltaA_a,left,central
720575940604561766,NO.94,CX,NO.94,ACH,PFNm,right,central
720575940637804915,FB.451,CX,FB.451,GLUT,FB4Z,left,central
720575940625680784,CRE.FB.34,CX,CRE.FB.34,GLUT,FB4R,left,central
720575940623698324,EB.175,CX,EB.175,GABA,ER4d,left,central
720575940617193886,FB.1287,CX,FB.1287,GLUT,FB9B,right,central
720575940614900127,NO.86,CX,NO.86,ACH,PFNm,right,central
720575940620159398,FB.76,CX,FB.76,unknown,FB6E,right,central
720575940614638011,FB.647,CX,FB.647,unknown,FB2I_a,left,central
720575940608068035,NO.FB.66,CX,NO.FB.66,ACH,PFNm,left,central
720575940610165205,CRE.FB.19,CX,CRE.FB.19,GLUT,FB5V,right,central
720575940607527381,FB.949,CX,FB.949,ACH,vDeltaD,left,central
720575940620012020,FB.91,CX,FB.91,ACH,hDeltaF,right,central
720575940650420726,FB.174,CX,FB.174,ACH,hDeltaI,left,central
720575940607330825,NO.81,CX,NO.81,ACH,PFNm,left,central
720575940624730638,FB.271,CX,FB.271,GLUT,FB5W,left,central
720575940629711376,EB.184,CX,EB.184,GABA,ER3d,right,central
720575940644178468,FB.175,CX,FB.175,GLUT,FB5Y,left,central
720575940629039660,FB.57,CX,FB.57,ACH,hDeltaG,left,central
720575940639279679,FB.975,CX,FB.975,ACH,vDeltaD,right,central
720575940629842499,FB.1223,CX,FB.1223,ACH,vDeltaK,left,central
720575940609116740,FB.1369,CX,FB.1369,ACH,vDeltaM,left,central
720575940620831308,FB.921,CX,FB.921,ACH,FC1A,left,central
720575940638542424,NO.FB.28,CX,NO.FB.28,ACH,PFNd,left,central
720575940627778137,AOTU.FB.14,TuBu,AOTU.FB.14,ACH,TuBu07,left,central
720575940620028513,FB.68,CX,FB.68,ACH,hDeltaA,left,central
720575940624403044,FB.1336,CX,FB.1336,DA,vDeltaM,left,central
720575940628695660,FB.1127,CX,FB.1127,ACH,vDeltaM,right,central
